"","cell","Longitude(x)","Latitude(y)","Elaenia_cristata","Psittacanthus_robustus","Qualea_dichotoma","Qualea_grandiflora","Qualea_multiflora","Qualea_parviflora","Salvertia_convallariodora","Tersina_viridis","Thraupis_sayaca","Vochysia_cinnamomea","Vochysia_elliptica","Vochysia_rufa","Vochysia_thyrsoidea","Vochysia_tucanorum","bio1","bio12","bio14","bio15","bio18","bio19","bio2","bio4"
"1","1",-73.64,9.834,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27.5807514190674,1482.84033203125,15.6499996185303,61.3815879821777,230.354721069336,424.578063964844,11.0100631713867,62.9666709899902
"2","2",-72.64,9.834,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24.8333797454834,1491.94921875,27.2231292724609,56.7963485717773,389.696807861328,143.657485961914,9.75222873687744,53.1551246643066
"3","3",-71.64,9.834,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27.8258686065674,1146.66723632812,27.626407623291,47.801456451416,338.373382568359,157.222274780273,9.14332962036133,57.6418380737305
"4","4",-70.64,9.834,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25.014066696167,1063.77172851562,22.4962501525879,52.4785499572754,303.243469238281,155.126754760742,8.86329555511475,47.0430145263672
"5","5",-69.64,9.834,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23.0871181488037,1045.69995117188,17.2592601776123,57.2247734069824,310.317962646484,138.601486206055,9.25954723358154,52.3873710632324
"6","6",-68.64,9.834,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25.050838470459,1223.3759765625,10.9565744400024,67.5179901123047,262.647766113281,336.522033691406,10.4214696884155,53.6001968383789
"7","7",-67.64,9.834,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24.8865089416504,1159.52209472656,9.19009304046631,71.7556457519531,227.498611450195,242.821197509766,10.9850168228149,68.2543411254883
"8","8",-66.64,9.834,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25.0295906066895,1130.56555175781,11.8368577957153,71.5738983154297,244.835403442383,125.618515014648,10.4589519500732,68.2562103271484
"9","9",-65.64,9.834,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26.0385437011719,1106.85986328125,12.5176916122437,68.9271087646484,185.869140625,181.734985351562,10.1606216430664,62.6412048339844
"10","10",-64.64,9.834,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25.428897857666,1062.80151367188,14.2852087020874,68.786247253418,197.726303100586,84.0043411254883,10.8958015441895,52.6574897766113
"11","11",-63.64,9.834,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24.1997852325439,1137.40368652344,18.8362312316895,63.1785278320312,273.259399414062,124.433235168457,10.8823518753052,61.0073165893555
"12","12",-62.64,9.834,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26.6398849487305,1383.32409667969,31.047872543335,52.2671356201172,400.532745361328,221.683120727539,9.32363128662109,59.6598243713379
"13","13",-61.64,9.834,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26.4882736206055,1713.86071777344,47.6897773742676,45.1292686462402,519.85546875,319.155120849609,8.45235061645508,56.1223678588867
"14","14",-60.64,9.834,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26.3214817047119,1932.19995117188,60.7000007629395,41.4495544433594,563.799987792969,403.899993896484,7.53405284881592,53.1337509155273
"40","40",-73.64,8.834,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25.7961483001709,2044.69262695312,29.0497646331787,56.6393394470215,396.880035400391,557.452453613281,9.86198806762695,49.3700637817383
"41","41",-72.64,8.834,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27.046142578125,2232.8388671875,64.2291793823242,44.7100868225098,658.136596679688,312.477111816406,9.61280345916748,50.8616905212402
"42","42",-71.64,8.834,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25.2907543182373,1505.71838378906,48.7719383239746,39.6266937255859,436.252868652344,234.202270507812,8.69947528839111,53.4017448425293
"43","43",-70.64,8.834,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19.3763313293457,1293.07287597656,24.549186706543,54.4775123596191,345.925415039062,192.028442382812,8.41385078430176,42.7234840393066
"44","44",-69.64,8.834,1,1,1,1,1,1,1,0,1,1,1,1,1,1,27.1006202697754,1500.80810546875,11.0372066497803,73.8771286010742,185.522323608398,669.773071289062,9.77590370178223,55.2807693481445
"45","45",-68.64,8.834,1,1,1,1,1,1,1,0,1,1,1,1,1,1,27.3659191131592,1412.01159667969,5.32681131362915,78.9122924804688,253.393951416016,700.918579101562,10.3532037734985,72.9304046630859
"46","46",-67.64,8.834,1,1,1,1,1,1,1,0,1,1,1,1,1,1,27.4906311035156,1324.50012207031,2.68100905418396,84.8825836181641,241.110641479492,659.521484375,10.3456535339355,92.2036895751953
"47","47",-66.64,8.834,1,1,1,1,1,1,1,0,1,1,1,1,1,1,27.078125,1200.84680175781,3.09379553794861,88.3454895019531,182.334655761719,469.086975097656,10.4742059707642,64.4185485839844
"48","48",-65.64,8.834,1,1,1,1,1,1,1,0,1,1,1,1,1,1,26.7072048187256,1108.6669921875,4.86899137496948,85.8302307128906,142.132690429688,417.263061523438,10.5072546005249,59.6001281738281
"49","49",-64.64,8.834,1,1,1,1,1,1,1,0,1,1,1,1,1,1,26.6996841430664,1102.96008300781,8.1081018447876,79.5854949951172,135.453765869141,82.2161026000977,10.8915662765503,54.4698791503906
"50","50",-63.64,8.834,1,1,1,1,1,1,1,0,1,1,1,1,1,1,26.7536888122559,1083.1826171875,11.9576444625854,72.6865081787109,143.983001708984,93.8241271972656,10.1118488311768,63.7759742736816
"51","51",-62.64,8.834,1,1,1,1,1,1,1,0,1,1,1,1,1,1,26.6083831787109,1257.06591796875,23.8860340118408,61.2299652099609,225.286209106445,169.1484375,9.50159645080566,64.6454925537109
"52","52",-61.64,8.834,1,1,1,1,1,1,1,0,1,1,1,1,1,1,26.2256603240967,1660.359375,50.3920211791992,46.538387298584,453.589385986328,295.139312744141,8.57959461212158,56.5930328369141
"53","53",-60.64,8.834,1,1,1,1,1,1,1,0,1,1,1,1,1,1,26.221586227417,1957.08337402344,66.1489486694336,39.1944122314453,514.512451171875,374.820709228516,7.59964942932129,51.8223266601562
